month_year,total_days,missing_days,missing_percentage
2022-08-01,23,7,30.434782608695656
2022-09-01,31,13,41.935483870967744
2022-10-01,32,14,43.75
2022-11-01,30,15,50
2022-12-01,34,18,52.94117647058824
2023-01-01,34,14,41.17647058823529
2023-02-01,29,10,34.48275862068966
2023-03-01,33,10,30.303030303030305
2023-04-01,31,14,45.16129032258064
2023-05-01,33,12,36.36363636363637
2023-06-01,31,10,32.25806451612903
2023-07-01,31,15,48.38709677419355
2023-08-01,32,9,28.125
2023-09-01,30,12,40
2023-10-01,32,9,28.125
2023-11-01,35,11,31.428571428571427
2023-12-01,41,12,29.268292682926827
2024-01-01,41,10,24.390243902439025
2024-02-01,44,6,13.636363636363635
2024-03-01,66,11,16.666666666666664
2024-04-01,96,8,8.333333333333332
2024-05-01,110,7,6.363636363636363
2024-06-01,100,8,8
2024-07-01,141,7,4.964539007092199
2024-08-01,152,8,5.263157894736842
2024-09-01,138,9,6.521739130434782
2024-10-01,164,7,4.2682926829268295
2024-11-01,154,8,5.194805194805195
2024-12-01,153,9,5.88235294117647
2025-01-01,162,7,4.320987654320987
2025-02-01,152,7,4.605263157894736
2025-03-01,166,10,6.024096385542169
2025-04-01,129,8,6.2015503875969
2025-05-01,11,0,0
