Sentiment_Variable,Model,Mean_RMSE,Std_RMSE,Mean_R2,Std_R2,Mean_Correlation,N_Splits,Rank
aggregate_sentiment,XGBoost,0.8330839627025707,0.3263773461735125,-0.06355913661340243,0.08832601598656091,0.0531268971734081,6,1
dict_sentiment,Random Forest,0.8350817343289102,0.3182927467368803,-0.07033456645026465,0.0627996237042818,-0.008351981754680535,6,2
dict_sentiment,XGBoost,0.8418628474669461,0.3222900034780461,-0.0911524986196226,0.08485097112124536,-0.02421521180205248,6,3
ollama_score,Random Forest,0.8434836636685145,0.3249476706596566,-0.08910526436448692,0.08393637635530558,-0.024172149178335836,6,4
finbert_score,Random Forest,0.8441158001400604,0.3138463240844899,-0.10093342000887266,0.0776398271755484,-0.019659433840254443,6,5
finbert_score,XGBoost,0.8458013945839209,0.30874985331595023,-0.11605273378195366,0.1073442027439366,-0.0053869780785378105,6,6
sentimentr_score,Random Forest,0.8477250380497104,0.32189856117766863,-0.10544322410196458,0.07241882614821715,-0.05202960385414998,6,7
sentimentr_score,XGBoost,0.8505830259213357,0.33233936005405845,-0.10396486853088653,0.080987025043672,-0.03213829830641564,6,8
aggregate_sentiment,Random Forest,0.8512475750271116,0.32304366278656627,-0.11311759347795043,0.0692074789789635,-0.09362676665656848,6,9
ollama_score,XGBoost,0.86159628701056,0.34064475834504593,-0.1388884293665742,0.10374354467430835,-0.07265905972293174,6,10
