Experiment,Model,Mean_RMSE,Std_RMSE,Mean_R2,Std_R2,Mean_Correlation,Mean_Dir_Accuracy,N_Splits
baseline,Random Forest,0.8385807008943896,0.32336990258910214,-0.075270667029236335,0.090210419901754,-0.002944273895551648,0.5083333333333333,6
baseline,XGBoost,0.8702254384302939,0.3716417265292757,-0.14714504909267734,0.20811567082055807,-0.030528053074476917,0.5833333333333334,6
market_only,Random Forest,0.8574720924726411,0.3570890763826443,-0.11034201814335826,0.1775529134666232,-0.07815502733253862,0.4916666666666667,6
market_only,XGBoost,0.8483569532499584,0.3303496424461011,-0.10079908299090631,0.10742823802305279,-0.06035409541590977,0.5166666666666667,6
individual_dict_sentiment,Random Forest,0.8350817343289102,0.3182927467368803,-0.07033456645026465,0.0627996237042818,-0.008351981754680535,0.5,6
individual_dict_sentiment,XGBoost,0.8418628474669461,0.3222900034780461,-0.0911524986196226,0.08485097112124536,-0.02421521180205248,0.6083333333333334,6
individual_sentimentr_score,Random Forest,0.8477250380497104,0.32189856117766863,-0.10544322410196458,0.07241882614821715,-0.05202960385414998,0.4916666666666667,6
individual_sentimentr_score,XGBoost,0.8505830259213357,0.33233936005405845,-0.10396486853088653,0.080987025043672,-0.03213829830641564,0.575,6
individual_finbert_score,Random Forest,0.8441158001400604,0.3138463240844899,-0.10093342000887266,0.0776398271755484,-0.019659433840254443,0.4916666666666667,6
individual_finbert_score,XGBoost,0.8458013945839209,0.30874985331595023,-0.11605273378195366,0.1073442027439366,-0.0053869780785378105,0.5583333333333333,6
individual_ollama_score,Random Forest,0.8434836636685145,0.3249476706596566,-0.08910526436448692,0.08393637635530558,-0.024172149178335836,0.4666666666666667,6
individual_ollama_score,XGBoost,0.86159628701056,0.34064475834504593,-0.1388884293665742,0.10374354467430835,-0.07265905972293174,0.5333333333333333,6
individual_aggregate_sentiment,Random Forest,0.8512475750271116,0.32304366278656627,-0.11311759347795043,0.0692074789789635,-0.09362676665656848,0.47500000000000003,6
individual_aggregate_sentiment,XGBoost,0.8330839627025707,0.3263773461735125,-0.06355913661340243,0.08832601598656091,0.0531268971734081,0.575,6
basic_sentiment,Random Forest,0.842933851793094,0.3248485906961693,-0.08852008615094947,0.08407741429379134,-0.04350321763462863,0.5166666666666666,6
basic_sentiment,XGBoost,0.8433942844873001,0.3398663941128979,-0.08329216280002794,0.09562754453209135,-0.003959285969369984,0.5583333333333333,6
combined_individual,Random Forest,0.8371008500616733,0.32229837245453125,-0.07345997381950893,0.0769870929743053,-0.006911379254524147,0.4916666666666667,6
combined_individual,XGBoost,0.8347102064607299,0.3229071348809917,-0.07323575491726321,0.09334611850977899,0.0632630938332251,0.5833333333333334,6
aggregate_only,Random Forest,0.8484610655615966,0.31645638032080065,-0.1115080520077754,0.04927632286830419,-0.06724525484172612,0.48333333333333334,6
aggregate_only,XGBoost,0.8517575929910781,0.31360409162238073,-0.12500671171540936,0.08099215575431791,-0.0027677102496648604,0.5666666666666667,6
all_sentiment,Random Forest,0.8360565675509505,0.31782892329751095,-0.07574858388285352,0.08151487253836501,-0.019398364071958014,0.475,6
all_sentiment,XGBoost,0.8199513913621619,0.3105273466634353,-0.03495675572916081,0.057088632616045895,0.08501848497056577,0.575,6
